year,ref,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85
1981,0.0,-95.08829973303881,45.013053484304464,38.32456964006258,68.93986928104573,-38.49730277087366,-89.50199760655437,-12.867918622848208,-50.22969713707084,-35.29929117186782,-57.33436435607109,28.668397311976378,-104.50558777501612,35.204437079996296,-23.79528675319898,-34.757728067752964,57.084028353125234,-29.99329835220476,-88.76325140384796,-63.475761760103126,-36.92784681947899
1982,0.0,-128.56800147288965,39.36102365828958,17.926889441222443,-85.47769492773637,-87.77816441130449,20.807861548375172,-21.39429255270187,-138.46720058915588,155.4419405320814,6.851495903525688,18.61399245144065,-137.12834391972754,18.96472429347324,158.59493694191292,-84.12585841848482,-94.28272116358283,-30.91624781367949,9.253318604437027,-6.6994568719507015,-130.42688023566237
1983,0.0,4.098112860167532,69.17682039952126,-96.47244775844615,10.765884194053172,-68.5958943201694,120.3066187977538,100.9846083034152,-9.134971923041576,49.418190186872835,89.25690877289878,57.215207585381506,-12.359495535303381,-94.2570376507411,56.17930590076401,-64.80219092331771,2.471490380189607,86.64906563564386,103.78935837245695,77.91805210347047,0.2693362791125651
1984,0.0,-16.282997330387616,-195.62516800147293,-49.85355794900124,-149.4898462671454,55.32567430728159,-127.15043726410755,-34.836711773911475,-13.561373469575642,5.5811286016754025,-81.68454386449417,-197.02533370155578,-39.97893767835774,-49.6433950105864,9.684414986651916,51.14036638129426,-158.23660130718957,-45.21147012795734,-132.00655435883277,-83.53872779158615,-10.315032679738579
1985,0.0,-36.29597717021085,-57.056540550492514,21.23978643100429,78.7551136886679,-136.5318236214674,34.90369142962345,-77.31227101169111,-58.16700727239254,-61.730663720887435,-121.12779158611806,-59.96899567338676,-51.358667034889095,29.31766546994379,-58.89470680290901,-135.08912823345304,63.777207033047944,-85.68841019976071,31.991512473533987,-124.68813403295593,-50.79445825278469
1986,0.0,-28.05433121605455,80.3607474914848,14.029623492589508,-147.62461566786342,51.69767099327993,-34.52409095093441,42.70457516339866,-46.577943477860686,-122.56441130442792,180.00283531252876,59.165221393721765,-41.44427874436161,17.134290711589756,-108.42881340329563,44.88104575163396,-158.85880511829149,29.366823161189302,-35.90934364356076,161.80537604713243,-31.509730277087385
1987,0.0,89.21299825094354,-29.02036269907029,-13.482942097026637,147.3278836417196,-45.62903433673944,1.6352572954064044,-51.75551873331494,128.61288778422164,-142.55695480069966,5.213274417748266,-35.58705698241744,69.06110650833102,-10.482665930221913,-137.80081008929398,-48.398987388382636,128.03045199300374,-64.19655712050081,-10.088023566234028,-6.817103930774238,132.65596980576265
1988,0.0,-102.86488078799596,-14.250685814231815,27.279554450888327,43.85950474086343,-62.74336739390594,-16.405615391696642,70.96168645862099,4.024928656908742,-22.936684157231014,-54.550879130995156,-19.145742428426786,-111.48266593022188,32.672263647242914,-17.62627266869191,-56.33961152536136,25.739096013992423,50.95837245696396,-19.930056153917008,-69.45808708459913,20.357433489827827
1989,0.0,114.41542851882531,-85.0432845438645,-15.841682776396965,-26.579600478689144,-44.662726686918916,62.717278836417165,-99.70111387277922,-4.274159992635589,-61.12254441682779,-45.222792966952056,-94.76490840467648,95.69325232440389,-12.028647703212755,-50.05322654883554,-48.107907576176046,-38.74032955905369,-105.8400257755685,53.423161189358325,-55.89056430083775,6.804271379913416
1990,0.0,-90.56054496916141,32.3626806591181,80.2221117555003,-165.45035441406614,62.265193777041304,-15.945521494982984,17.04260333241274,-19.781202246156738,144.80206204547545,-10.076976894044037,29.0947988585105,-104.66604068857595,80.1367762128325,153.77693086624322,63.49358372456959,-167.32138451624786,1.8142133848844537,-20.524643284543913,-15.225830801804307,-10.609150326797419
1991,0.0,-27.67708736076594,30.744895516892143,-7.700561539169712,29.925232440393984,100.3742796649176,-21.271950658197568,-6.8623952867532125,-0.5008929393354151,69.148375218632,12.010291816256995,11.352186320537555,-25.065930221854046,-9.163693270735564,87.00973948264749,102.16356439289325,16.560968424928603,-20.416938230691358,-15.84223511000647,-6.593961152536167,9.440007364448093
1992,0.0,139.25497560526554,-45.57297247537514,-20.17308294209704,174.87911258400072,57.40410567983059,124.90700543128048,-171.66465985455218,-2.8298076037927444,-5.440412409095131,-63.00434502439475,-49.618816164963675,131.31517996870105,-13.859357451900962,4.299438460830288,63.14616588419403,153.55157875356713,-177.87620362699073,119.2580134401178,-66.12447758446103,8.436969529595842
1993,0.0,-31.932541655159753,-27.20539445825284,-36.10652674215231,2.6772346497284047,108.36765166160359,-8.979766178772024,64.08540918714903,79.22680659118106,-1.9408266593022745,-7.61715916413516,-41.45090674767562,-53.837540274325704,-31.925637485041023,5.479223050722624,106.52865690877286,-5.965681671729783,53.05779250667399,-15.934198655988268,-18.26421798766461,94.54191291540087
1994,0.0,-53.324698517904835,63.891263923409724,-59.66162201969996,13.043984166436474,-14.375513209978863,9.522305072263634,0.5361134125010949,84.82028905458895,155.06055417472146,4.1679830617692915,58.50104022829788,-60.43930774187612,-61.304814507962874,156.53887508054856,-17.127791586118065,0.25690877289878244,-12.661898186504686,6.412943017582563,-8.097689404400285,94.60515511368862
1995,0.0,-94.8333977722545,68.80675688115616,0.8396207309214674,61.04950750253147,-116.65140384792417,123.80123354506117,-6.932541655159753,93.85425757157321,-94.19959495535306,61.85646690601118,62.38753567154555,-97.04632237871681,5.013329651109245,-93.02478136794628,-121.1048697413238,43.160526558041,-27.566896805670638,112.67281598085242,50.354119488170795,107.78383503636195
1996,0.0,28.467071711313622,6.802890545889682,-0.5334806222958832,-69.16065543588331,15.541912915400871,-122.14822792966956,-89.24792414618435,-73.23301113872782,-83.3956733867256,-34.278578661511574,-8.609978827211648,10.146994384608263,0.25663260609405825,-75.96871950658203,11.910871766546961,-78.37855104483111,-100.41113872779164,-128.03499953972204,-40.608874159992695,-59.284930498020856
1997,0.0,-155.02699070238427,-50.06040688575905,61.681377151799666,88.94456411672644,11.440283531252817,-49.85687195065822,-61.248752646598575,5.303304796096825,2.1856577372732886,42.62641995765438,-59.657755684433425,-164.98252784681952,58.35191015373283,9.34749148485679,14.213550584553047,81.17267789745,-71.52464328454391,-57.97230967504379,27.114406701647738,20.993997974776732
1998,0.0,-105.23107797109458,-135.0662063886588,-38.88559329835226,-40.27195065819757,-55.796943754027495,-47.469962257203406,227.19173340697773,-62.19103378440582,54.85950474086343,-55.79059191751821,-140.52989045383416,-108.66714535579496,-38.87040412409101,66.29142962349255,-51.9295038203075,-50.19821412132933,199.8658565773727,-55.495645770045144,-62.292663168553815,-53.22693546902332
