year,ref,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85
1981,824.6618590727448,540.6068007751524,613.3560424596322,766.2379997625411,695.6304717165619,542.2382858429728,661.4396052666932,738.7812826720988,709.2893808534836,620.9202713244975,662.5580990821422,815.511698633979,852.2230237226206,677.8793971067236,731.8763812600139,570.6877640612795,696.0910261569308,398.77339783209385,613.7924650727534,836.1006518810173,631.8059570132546,706.2056125409881,765.4291659027322,533.2953278114469,678.4183802877258,532.4875799486242,625.0395206572696,657.9371872030617,675.2834521110428,811.6736126415191,742.6962614844248,656.2998222136201,857.8760969368866,729.6251664658599,789.6857295705917,669.899625014895,653.7693105078463,550.3327768487941,395.3214825794081,871.8993632115003,622.8315370161286,825.7508124462308
1982,842.5218821242452,568.5375294802113,633.6462300384474,685.7722882690041,658.0839568816825,630.5530931520425,543.3011420050443,708.6458758800181,709.4665684283447,699.0250534728926,656.0758446797001,900.5595664144531,821.4419548656911,684.8732692585825,717.9574545194405,617.8675887203618,806.11758523664,392.56508435450553,513.6957926332415,838.7922915472897,638.8020050398075,706.526532493147,677.115290169128,556.4973421972525,646.6735212098286,621.7603510122833,696.5247039892104,660.9085132342212,772.1147787381544,898.5054569905926,705.6201362937063,542.2137799927407,819.4451300388649,721.0319395248148,814.507743202672,677.0404045844252,721.1726029331323,605.0936582244385,391.8332928466722,682.7232545295262,525.5694214663557,828.9866394217378
1983,844.4994016364217,686.161868577306,692.9062511610177,690.3359274537991,756.8924518871158,715.2729621070832,614.3346543359903,727.3857591076123,727.4809737076198,671.726763401559,717.4038390520593,841.909867574887,796.4537531385564,622.6596288862629,795.1411380702089,473.81099581180933,701.1285089887281,382.9864487549539,604.3790403576356,755.1207223304318,703.6709685404621,724.427550643735,682.0956023606711,672.2760612149309,747.1464547545104,710.7490788596583,672.0946330674897,717.7621836446076,677.8310339249301,839.6439729947497,729.9913591582392,606.6282017367898,805.2566829005443,791.8009049917131,656.0492565071852,613.6470418992476,503.1486160311824,457.838980574015,378.7545136332178,715.3737489670909,615.1813934962001,747.3009405777385
1984,819.7693293392658,688.7619626215396,670.6170402252168,748.2789698250248,629.7518680170208,509.6579926269616,599.3378218079553,706.5364581959922,681.5225495517192,700.3871925675608,697.7956558221792,774.6150147074455,890.4302497374536,735.0284205819612,640.0552286042098,584.5727873048903,475.3821545966862,263.720576572201,543.3731527634948,724.802358779041,674.1611232513364,677.6574250430172,741.4407499455453,673.666742670627,621.2358035724985,500.70866871562345,695.7173347315263,699.4630323745878,457.7067992616674,777.3209745038698,709.0229516408002,591.5402761380013,892.8069862880204,649.672426310083,693.3152396816546,729.5110321716044,615.2837980547145,561.9557104834995,261.1272103857241,727.6285619140922,556.7053681204501,716.3962070754137
1985,762.2630516663194,590.0455005930312,652.9002762526529,720.625593967591,718.0145464127526,604.753278739565,614.9108210414039,726.8835255414842,689.5344369597416,602.3459068196073,645.1807739702608,846.5470149237224,783.5455528748078,671.6088914210379,660.7071907755777,616.3970045510058,658.2903097564841,451.9237630191976,696.0426701142011,827.8084647011212,656.9587203869123,685.701211799474,713.8221906047927,573.8690863813499,704.7181875052449,601.5082927918336,612.9921253791239,651.5543057459747,635.0431433587896,844.4621300391271,722.3704801187606,614.5809086077493,783.0516894949717,677.5729481254446,736.480644398482,665.3998660704553,717.9841652504915,592.8744062764046,451.7014920715753,792.8821842390244,705.6002876915696,817.6903165718186
1986,804.5691963434219,588.4875309255192,667.5910677710273,734.8148687852944,660.4718012573005,576.8196805786646,642.0555449863161,771.3054567340087,750.9547974789022,546.6016600536358,695.1133983087256,847.082346296774,696.6706546033201,644.6975190093087,812.3724232247525,626.4120894551304,654.4291052000606,415.25073108311017,741.2507289476517,751.4730627167442,676.6931490097901,753.4917172289413,728.0873370254094,574.2368809488033,650.7170893527938,572.062081768671,541.2547801366419,698.8862423355124,621.4407468124115,842.7200672635174,779.6922459160534,637.7789180185138,697.4604829481268,813.3390085521658,784.6299581979596,637.4954643715705,797.6873974506183,608.3118774085331,416.2343878527094,911.773522215835,746.667343345227,741.68857858521
1987,887.0396282374859,707.8333832014982,701.6257674171584,650.0330469299662,759.7640973090016,670.203348689055,669.4879414838565,767.6943175034588,727.2425149625467,628.174873452073,632.6418942485883,884.1197635613931,706.1329072726458,576.1668364091583,808.9443364757666,502.79147210972064,816.390006990208,585.0774650616822,798.3139925139901,718.3901450347288,710.6366047132855,727.4405568396152,638.9777656631117,690.7033927057331,747.9446299468278,664.2048431867752,618.3366705863749,636.1311382502759,792.119121190271,883.468051843128,768.6522398180548,672.8701811311158,708.6658683300171,812.0575121546526,828.9946768487988,572.0273327532797,802.7002016844194,477.93031812735285,580.3300355547115,878.1362382561292,810.2358448958179,708.3020470511701
1988,858.1811852604151,581.3536330850924,748.3699180031629,673.4972309789307,754.9568820546658,538.0607961204772,595.5864885247621,708.3980683779326,601.3405860966686,674.3583305055781,598.912794837312,828.6135943991462,723.539836929339,677.7096062124054,856.5083195777945,621.3013382305019,851.3452577394489,574.0250773947305,620.9997384653753,809.2780947540484,757.146135635483,598.4105426372435,672.1909229146354,569.0179691384046,744.8693505851885,529.3947380945408,673.9047180701671,603.2473195504238,824.8342582294393,826.8168443990031,718.820551297179,593.6298270332006,724.0266483626599,854.6552963936798,951.5975371475035,674.2533204609523,919.9347973235303,599.7311263437141,568.7922954813237,853.6707211318068,634.3343983727385,799.4154429597523
1989,900.8950799256563,688.3383446578185,652.1153514034866,717.2378082443913,784.1117577628353,630.7512465431495,625.9415430705759,709.1451240736451,684.9899220202378,682.5840116982699,660.7989326597894,749.3731896613845,871.8383183751389,500.2163987783931,842.9507400358198,364.50460269812385,913.1334135963134,449.01172609774017,611.0696377509099,875.5227473284143,656.0774561749525,679.8172331201492,709.882385904684,667.4483656583124,762.6061477735327,628.3539612940767,684.9485622379786,666.7709193773942,883.4916157425466,749.8646559310654,705.0707081293348,623.7386542557282,874.9835900916316,844.2564512294185,979.4310085051022,486.2050931079199,873.1321045380545,351.4583098844299,450.46398139048216,800.0686119776052,627.0423919599513,864.5274978937427
1990,880.786196783185,618.5691735941921,645.7372145001401,634.4376945725016,563.4389154495494,624.0047127533644,600.8862718376492,749.0454857046863,697.2009002363843,717.1030681256943,627.9578419597472,653.1950252792565,763.6389283880062,568.7453416138923,869.5626624162874,664.5381564110071,716.5152252471182,381.8999164058833,591.0030995647903,881.2176471311212,654.7769002872961,696.7433422367194,631.4816509698164,611.4092400863674,566.4640109467358,615.545479025862,703.8316977730967,632.0477560038254,676.3144352263479,660.9825364810957,748.8388692092075,592.4742793247042,764.3150120257958,860.6508087926347,636.929712039945,553.6879689384784,808.3394767607979,645.1091144593031,378.8510291186201,787.282254779954,604.1456171600157,871.6155347041243
