year,ref,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85
1981,0.0,-4.264753701498137,-3.4180108450976263,14.995824765572365,9.041467681003269,-3.187011851615864,-4.462124525334843,-2.600073133101205,-1.6457378045621454,-4.923473935102436,-8.943852013762239,-3.5926343718764997,-4.262604379274933,15.940159134923306,-3.4024664147486305,-3.207808129254545,8.896233877754867,-3.2157872560599117,-3.9112952360652002,-9.317697798671986,-1.1756339214114178
1982,0.0,-9.355490641002916,14.271889137185099,7.269583647935008,-2.5382607265418073,0.9850437223934136,-3.4633547874316832,6.926956458263703,-12.596207730386482,14.113972744047317,2.981112502916176,13.684029064695721,-9.564072342416921,6.912579851675332,14.82521460547872,0.8108242163935984,-2.352363930762749,6.677475117300446,-2.961574629086158,3.0753777729649414,-11.715205639144358
1983,0.0,-2.733450975028518,7.955818901227701,-2.6254646531702406,12.340224289227876,-5.375041799698295,-3.2419363037681705,17.59812805012558,-3.0053469563902127,9.5319426962933,6.021662424912165,7.093777485781118,-3.357037461659502,-3.080755066502661,11.017612657383438,-4.831024506673657,12.947973091177403,18.10893856019885,-2.6901324915605187,5.292595116307723,-2.5044239551475016
1984,0.0,0.5960216752376368,-14.145642253612039,-9.36581604401357,-11.581499372957637,1.763435253659111,-4.964667173713451,-3.360054612656427,-1.1328144639767288,6.0318920414118224,-7.5254491915973745,-14.392310949390037,0.6942974354447529,-8.777011111193076,7.154469655762853,2.325604490505384,-11.821989416321742,-4.063560257287463,-4.496200517121565,-7.812434820809926,-0.011709304228816109
1985,0.0,-6.307877523735328,-3.5449439075923124,-1.6963429510276455,9.077968461385751,-10.974964953512085,1.1138391816037938,-4.9607082240025875,-5.034487991788865,-3.03777721719257,-7.118770538318188,-3.492053449212733,-6.861826028065536,-1.3758317875778516,-1.577863889137177,-10.696822644204701,9.585361218126934,-5.8346441569195235,1.6759450941945033,-7.765545150572166,-4.22752946481512
1986,0.0,-2.658987194623535,12.136204308994479,3.4608377297558945,-3.69477267688319,2.4771608722408587,-1.9994366024544092,3.9764737073610945,-1.2323719051551052,-8.631229994860234,6.566306091438491,11.70437920308558,-2.8751306923634274,4.2474526907734,-7.600521976428524,3.144230686986589,-3.4608328473494225,3.2895206576226315,-1.4277547125224714,6.158873890734583,-0.6541336835496168
1987,0.0,6.292208393655585,-4.453781968461726,0.2203882530266128,10.534622418196136,-2.3641003380002985,3.875659176290924,1.4579735206232272,12.19566202144972,-14.302512420355868,2.16322369721388,-4.8050102215479455,5.662738577074265,0.6908988469581914,-13.762424738743846,-2.4500224466149803,9.72590455937518,0.7106116015393127,4.852655375914026,1.7296105543085218,12.381543956449264
1988,0.0,-13.868553447173156,-2.0861191510721824,2.6825742738384974,-2.29926632768462,-7.255297455504774,0.34990475029331947,8.345291393568289,-6.708560038498092,3.0259254948045395,-2.945810873976825,-2.4424683031713244,-14.135238505294978,2.9506111755489997,4.337040139189924,-6.798793414365548,-2.159807893923926,8.10994799953005,0.6740389912114892,-3.2967980700112776,-6.031880605859044
1989,0.0,2.3369249848466325,-4.0180050072729045,-5.131890987398037,-11.29162920304492,-3.904051767113515,-6.272137796140953,-4.7018303099236505,0.7538791421009705,-1.892470436394035,-3.458858502266253,-4.41890231087757,1.6175613133070783,-4.440387702287353,-0.33347142290148213,-3.2839804124478746,-11.439775448538398,-4.826175175648359,-5.589660895950146,-3.965164507626696,1.2026691685890114
1990,0.0,-17.2336605990169,-5.133401364158374,-6.274557866212888,-10.923985024681315,9.120383845875097,1.5602944652441124,4.319649171602521,-7.527356186537531,3.4171607462852194,-6.5478331982805,-5.414395687366323,-17.391968019799663,-5.046535619471513,4.716070527930071,9.442082705859605,-10.778981986913891,3.1395796136055765,2.164130743940916,-6.987740816068083,-7.049521220678059
