year,ref,CRCM5_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85
1981,968.5832366943386,964.5559828488579,595.2040109004683,882.8349757250119,934.3017550005135,1023.6831938291139,929.8387632761112,665.2835198386978,1001.7071353920842,861.5951586315979,901.9277125417246,740.3754432247913,949.98886562369,960.1130488822239,811.6830195724037,609.4997007759478,565.7596724782697,655.8396392149004,536.0127153662984,928.8481118803071,1006.0627149669656,764.6088071625016,876.6179200739754,899.2220743597799,996.3563047833558,586.0893989917712,892.6164511447989,649.0401341165095,757.131965707346,920.9698295163755,879.6218679475003,979.5587028253342,954.3851931995938,890.1337927329453,563.6418553472989,687.1793994513467,1000.5007108323925,798.5701334156256,763.5252234524612,632.9574590101265,533.0184113886046,728.0598736094857,741.572376233866,970.196821279701
1982,887.7578216493133,526.066576197133,752.902335198382,777.020363268147,968.2958896733446,1009.1631079967876,745.3848779262715,1012.9636261063284,741.1768752953074,502.85753774932004,753.9980966301658,953.372652943484,925.663472113459,858.1007011347995,960.2352564289138,1082.6025105594913,929.4498064801958,806.9736721726482,385.4900067108476,758.0846637368145,784.7175375465326,666.0427807158244,773.5952272733177,753.7580463111417,1017.5329276722908,722.0602314118191,709.2926316775995,975.1850923702076,958.3086330424301,868.6491809842166,739.7293543811032,826.1008236039361,710.8931621552287,524.4979695126966,1039.4390361685123,851.1450117671768,613.2331939892891,982.7882571501126,588.3850922874527,940.8896482840929,374.89583660631206,650.7813299865443,683.3543776762419,776.9446183737363
1983,855.2174185514451,903.2565627527038,960.7681121602598,925.0039079988784,819.5645363348003,693.5124748063668,881.2946408072272,1159.6806446909216,1034.4624004981665,798.4559704293013,656.8279727380495,981.4906904274266,1190.5403989017832,627.1409907318866,712.6478530534707,877.2535258885399,403.5138757878266,991.4442193882106,430.2655622614456,909.4101645599437,626.6819184278617,715.4299881295706,922.7767321658489,669.0036759811267,695.087864944862,906.2162450328233,854.54408297665,1082.3895829262574,993.2635816234069,1094.020762908163,850.0458253476024,630.8133129645153,979.8739513988553,828.5606479598612,852.9101001164875,1009.894332637423,621.2827174710595,702.5285439015908,443.50979931928896,390.2793640700506,428.66913678764683,847.9500905622676,751.6941419815257,598.7319825600741
1984,919.8715867102144,557.8987218946058,907.7897881330637,472.74305031748725,777.8906426371634,880.7525499366776,542.1155521957932,579.8681475081066,806.1736913131363,800.0595779473357,1212.7181781102731,811.3385670927536,746.6358485898692,1002.9835880132973,1029.8211906033857,814.1413525106036,706.5713845990499,624.082975347485,296.45295587767316,392.45777246603046,788.679218815474,650.2039908257634,478.10290483370255,1231.044158315016,849.0218524133602,820.126674625863,517.9013968839378,559.0722411722943,811.3419563180322,741.9865386983706,380.0608169482936,956.4663712439649,781.486459761456,784.3240232239209,791.0210219219719,656.8757688686758,636.9580947534242,1038.2481515480695,674.3552358163399,660.6946395851753,307.879455570383,837.6565903067701,701.8467260729543,747.3596022750563
1985,929.5197176337242,746.479420197392,948.4355043723314,824.3629470755925,851.9455845901288,847.9924238573149,1000.3913207132211,1042.522040301961,707.3511772728209,778.7967509087227,619.8690408700652,721.8953738351669,603.1004669579161,972.1717012932852,912.0174487382988,822.1832176832304,916.1396235672653,796.0974239015019,493.83187961393685,813.8731178300486,902.2579220854443,926.8872488492067,822.9350445773309,630.6568187961476,846.2547898596894,907.9413166066704,963.9664623772444,1009.657615407018,731.0894865247724,588.0646784880637,794.4106317578279,1003.4911749600351,689.1155479050111,803.5505667722853,783.3752787862168,886.7686938611253,836.7242170324103,938.6180483592631,792.1353177587732,895.2000969722556,512.5922806056072,734.4888328576649,994.8345553245574,907.8586478610175
1986,998.947967916727,711.8867363026231,750.9951753099234,859.7794373540166,1149.3536314494095,962.1095885290099,569.8075020499441,885.7089176200079,1084.7387406775406,806.1822388619912,1040.1340078049716,577.5055857335042,1213.603017981879,979.1181851175493,863.2315324040654,780.4712091572098,703.8718899973779,1032.3447796725457,461.7146763556816,596.7612277548972,523.1052236188942,1043.9651522773418,869.1066191138102,1038.7877953255147,934.598240966968,697.4540790598119,540.1384757799883,864.1551550860703,600.1434915182379,1168.5414459317988,607.5275394574473,951.254437739117,1077.2787694973886,819.5136837259595,734.9956894542817,1062.7837162621809,698.1602902074803,883.0467626116579,665.4193516924474,759.8116802505826,477.12894896891225,1152.7286476626105,1123.046780789758,517.7631328492163
1987,1063.284653663635,1161.2350271705227,1158.420149489547,778.1945746945099,773.5269473376228,836.0604309886472,1265.2549918896157,901.2833426806826,731.5357737048205,1255.70146609932,756.3085975664412,631.3003495155654,845.3691686980568,921.2107517093975,817.1005656649454,621.9990500486836,455.772564595188,867.5965092885535,853.6726996782213,1049.2073841940812,902.7371757064054,994.7001089668634,777.0593320847836,766.4201487227374,822.1914360144442,1105.934816402426,1219.4088945561605,876.8000870059885,643.361213447793,833.9504689379793,994.3070734316468,928.4616705078004,711.9479528961285,1212.0445139621738,602.8191522303854,881.2521336865161,917.9896063100438,842.998227365601,983.4816631435576,446.3639054430042,849.5412635471193,863.9347860217864,1033.012318470977,891.0870876601133
1988,955.3574169874194,947.4087895004814,732.3458390444137,891.7160028427681,1040.4202403429138,867.9088634472729,918.9523136158502,739.4813758731901,1056.9424095849295,909.0129375240465,773.774221089167,796.8476699200193,622.8375829844142,821.7927063715844,949.3450599698665,908.6690089922262,837.2040912411371,842.827386495341,758.2750945370005,1067.5097899151078,862.7596123792064,597.4025275863199,878.821229366575,816.1305001028868,864.0378039403208,709.9909990974236,882.1445882943523,717.5463634653455,807.6954848216072,610.7397309975781,1046.0155719715522,807.6649914153684,986.4660345939052,935.4117164644341,898.812724465451,902.5001873119712,1214.5511372229998,940.1207810599724,1011.8104449984867,836.3142710081044,782.3385638969556,830.599098850683,610.7949766874353,889.6025807628018
1989,1203.068767249584,962.2947260410043,1139.6329590658784,757.705774135347,838.687229219871,994.0357957300073,891.9637690184614,1017.6110655602799,645.7714285682376,937.0943200942619,918.6001082558632,755.1155330475648,829.2929083827935,622.2422237272385,444.19008723893415,800.6822788336186,364.54331336358166,839.4243861686314,561.7596205582067,1067.1532522730945,935.5001733303843,806.1554165958223,725.7488363557443,907.1871254884825,1012.849999053449,1070.8280317360266,853.7443703450906,1000.6382497267439,760.4485589429581,791.3646159881872,993.2098091161686,605.7240316883458,657.880801194925,963.0112119262684,787.6305589067557,834.8397647307588,816.9068238770865,451.40811402800426,734.5062786887911,342.75575547605456,595.0393619606584,870.2516956497693,807.1688916329606,923.5404020314786
1990,878.662146002054,824.9308420468014,781.8172160892824,850.1921623678064,821.7571114947859,846.3024577607697,529.0348150940085,804.686005956074,960.3039235566931,861.4632069201309,1008.5489537145879,992.1723041736068,845.6286975355432,692.8735035487983,585.7268208667302,750.1429995450784,986.3626668962482,910.9228318607986,412.96122185844905,566.62797919316,837.5368958638336,720.1951168031947,841.9151985096112,1015.2505504342109,851.8336133960369,748.4528103313284,502.57261439047,823.0954528565253,1009.5949078820304,818.1056995129525,547.4283607919936,689.4000450876716,923.6967436707826,906.3863163678857,724.0850412444024,948.8416743519488,402.60347352259157,587.6422478933838,768.6042526789444,997.0284158614872,403.2279292672394,853.7967532354457,771.4119795281584,780.0168960115179
1991,911.2997492253779,906.8190714371439,857.8932428708115,1039.8266022405423,714.4627789760405,900.041182730962,1114.5533507798204,881.5166395310475,913.7877687823903,803.7515362010563,881.7724598047172,963.7666658671662,869.8629339253625,931.7315239879314,695.669400903854,785.8184276336033,1093.9247277839409,854.3642605567434,839.1661122853193,799.648147517526,951.0050179305482,1182.1783656002235,1032.6042226836382,886.8206549943498,902.5766009319278,863.4810111234046,1056.2714452813493,872.5479970128429,975.2511455357861,835.5031962216145,774.3614585794137,934.1320897238274,884.4557087913431,843.641481361823,769.731423995043,883.6746785640441,995.3376907906314,670.487527005004,572.4866428918158,958.6035585668482,844.6834864411961,787.217369429893,1162.2253349299795,940.042706043076
1992,820.8325707614426,992.6097862106543,1162.072502906365,818.7566819422169,889.4054483766431,809.5208463103826,1356.385282633088,1197.604562631671,492.99985709874426,930.0262320914767,980.2925244431368,934.180460307532,706.8083900559587,657.6188376828796,993.5564431851058,907.5957108591781,618.8032372930949,703.5654236653493,665.2870148209973,1114.5949480558975,972.6858602372798,419.6449414570343,822.5606367072373,999.227318954259,817.4535420387799,1111.11107066653,1301.2797508873791,1186.0640991963035,955.7609671881376,671.4459869293435,1078.164688417843,659.2096136055468,471.015936721099,934.1374963832019,884.4236320553749,726.5184193725127,1234.1587545227142,985.4341729296078,674.5338944018442,608.6399638058831,677.8825667925939,1117.2455989566995,430.0436437433209,952.3990672725178
1993,973.578830718996,893.5056789521485,743.7508151316654,841.7743370574542,870.4550743696816,869.5268270598015,942.2520273290149,799.7914462093269,944.5243571598064,992.8302115905724,1118.5703238599674,920.1337377242928,870.8666409224584,796.0991157138877,769.3900061461027,739.6767622934669,817.3560753043748,888.6051494478559,516.6760435911435,561.31468202329,880.8597101782108,696.2322505493199,838.6282593663403,1157.2363801397285,882.6130950100351,705.9710406237301,909.0681514118687,787.4484429752193,933.4318031468575,838.5898486107969,534.0639175808345,796.2506919136277,906.7912728957104,1022.9549986482003,731.0960474717218,889.5871493522728,746.1350928065916,792.3647678889162,639.6719910923761,780.2310516610669,530.3303766429615,1037.3874161165104,742.6653790479149,850.8888364966363
1994,1027.7464694380758,963.2408745124862,725.5632998056792,976.2401338583459,903.2324494770065,740.7538001296714,809.1432341286375,950.4522389047676,932.0065472197002,865.7370711852539,769.5310545136836,810.5787101765994,842.416905889546,847.8173208628837,611.0069928981305,881.477696960407,965.5789150017982,704.6462929073239,747.2639874508018,638.0282785988318,882.4726230379399,552.9643392877765,991.5695186550474,767.0618853612997,719.9849353284604,704.7763134148372,762.5707390863099,922.7254050716695,831.7567455571416,840.3246005957019,606.236595497777,823.4939459538734,905.1882791143541,926.5943036355303,845.7683985461215,712.6223063738436,665.6562894065504,629.7699418777656,647.7907623559923,954.2630994717604,732.7530183731775,725.8900344108079,581.2736417096042,847.9938549809366
1995,1081.3791737258434,897.831229039368,618.9623326036098,1042.3630674237502,913.5701125512026,765.385789104005,1013.9706961543444,1271.7505796478063,845.9861990271958,1069.441747053326,538.82602410454,601.0844365577285,923.8615203557047,808.627506923518,888.4914502646938,671.2622176689677,515.6964952286729,956.8738748995975,890.2739242438039,1036.997858961293,813.8314772304564,711.5697593535742,1032.4216897287974,524.0668971007435,761.9945742241482,592.301657678995,983.3384461608398,1270.2144862120242,597.0163190822175,900.338585525632,966.8583009910817,829.4567612813153,814.3978232501895,1097.8276406725959,661.7439373107272,947.5510504123366,773.2695033662418,905.760141203072,957.8268603791689,516.6603987742933,861.1185422359953,692.3239569934714,815.2592430129673,858.7789531502051
1996,878.6000818908219,1023.3508047133281,908.1832698361932,803.5672648609565,1082.7352799279583,1028.9400245061036,708.9299968679403,670.9499702739545,724.0157260588592,712.583009666901,875.2497802134416,656.8111230022819,831.9597835409145,874.7739134893774,1027.2095224202126,691.7995410151409,682.807619622449,879.6660099578141,276.9954908108799,679.3418343260203,755.2911075983404,912.5781924769067,786.6366910174951,869.5441593778671,1024.7200494993451,848.0917788903048,689.7559475258068,656.5770971157109,646.09764199243,812.040291653259,651.0091762705034,918.5416591086785,706.1790641848048,745.8978877094335,651.4684180044999,890.2095044244568,477.7190936706173,1037.8263333344737,587.9914399584928,643.6848145022395,295.2385736352713,811.810180676768,1029.17876438668,720.8896563423492
1997,773.2373471558114,796.1111921363604,637.5999168869363,808.1218580161759,908.3663192814793,1123.8050081349854,1030.6818644141335,804.372392317836,757.2842386628665,905.1908983891583,1005.1568547340526,957.8577346526345,966.289239349103,897.0998240807413,721.1038954724959,809.755885623895,846.7550445237415,836.6319559136866,809.1964032385551,1108.0744179152746,881.261771513906,716.795616075074,798.0279324886458,1006.091904195745,1123.8836435683716,602.09928437328,971.9731681764913,773.5472891834042,1027.835298639583,954.6636948083506,1103.311606819293,891.6014306397813,749.4290347638419,969.1930200818001,791.665917837287,825.0702984888092,886.5001558597247,749.0297093432536,840.4418709466777,805.7068007172011,907.6948934548901,741.4588726504328,709.4285353312578,862.6642153136328
1998,708.0782598853089,917.8316436531386,675.004471265109,532.0153251776528,617.3227213743492,772.379124171071,892.0748471945967,779.0145540339796,1299.6917702335752,692.2400030450121,823.8796680511167,842.5038227235452,848.981251776689,649.3471012886844,329.63816467974254,944.0518828646235,584.1147218203822,704.4117579630172,522.7409193811834,884.7011076365623,782.5441581453048,1012.5140656071475,525.8541363672102,832.960936094252,760.7847698870971,659.2758433585982,828.1552471275381,749.6143705796587,854.1851969111362,810.1116706543844,813.3227423511966,623.8673096560262,1271.7056970158515,717.2773863864057,883.0537527527546,697.7379226457167,947.8198430933287,327.5031228225613,631.1116243401952,563.6963329750818,522.0848772497266,682.0581876903661,1097.1341473562434,784.8004457269751
1999,1058.2766212224963,808.6044827997495,1005.4937890270319,765.273112940869,876.5251206958706,838.0538475260599,1182.4890339219642,1173.4854410765668,982.9658472567181,1309.321012750194,818.2827254414345,822.5204322990035,899.496734684287,704.7664747129824,765.1807102249115,615.6810510693797,503.07933160257204,974.6561212185567,742.9462000391023,1264.609514927024,999.1402841843733,650.5363220953549,778.1440226175398,834.4567973157722,842.3101518448369,946.7404796352114,1161.5120104641517,1116.2444421489165,846.832853558981,885.9201526746842,1169.0525825894438,683.2280416872447,945.5905634418349,1269.3498235657003,581.3524019868769,963.0649701750469,1010.1342897844205,757.4877630399073,921.031315014131,481.8067027370568,721.1691156454477,745.8259311765032,663.5333898428339,1009.4812325407136
2000,780.765440046787,876.676793432625,624.1792422276553,1096.024735872525,1038.4247968801733,768.322238136096,789.2731863969228,797.0686619201797,737.2932790276208,1043.3605522481957,955.8568689707413,899.4467740819262,961.396697586473,912.6583716112947,942.7611817891598,806.0546066447992,1096.7468627736002,953.2925532637885,344.92760119686363,431.7596848574724,844.307027980056,597.7711659559014,1056.877973357119,947.192964162883,746.5523449872887,591.4060546700251,747.9841525438975,791.8200205029926,913.939894133444,952.1416729142841,431.6672564985357,923.2950962016168,719.3635928527016,1021.0405585611109,782.954553056903,956.4161529912219,490.40271643779926,938.9496657819004,827.2133743044269,1055.2098600839508,350.8739124898132,625.6846464813989,614.6206493731622,782.9824326651925
2001,726.799867868424,907.1101687975811,811.0976771274574,966.9995399908349,870.1855919584544,936.0530804448421,1228.32883139739,1015.9880555828647,1039.1473340004472,913.8729288693514,761.1975654151673,1090.9778981030058,912.2530598507122,764.5344092272944,487.54092161925087,1097.198063941492,884.7446805031453,908.9788375113897,476.6108486456705,654.014067393276,741.2326001160939,630.4646410106177,947.9707604899351,769.9966288374793,920.988423097055,810.9090063381593,1090.5284209923525,977.3315611546772,1096.2854367343125,884.7553476141908,605.4788587111831,774.5005697856925,1006.295085406585,915.9653260846592,1046.1638134335492,952.8711163964592,723.7172806758296,490.2943919072386,721.348108092542,886.7865968509097,489.3982392696116,641.627591219897,620.4572929043628,710.1809581003918
2002,557.435321956875,861.4520174492911,935.8769363648094,688.8157586344417,858.7398475779173,853.6239175626571,1087.5234337559289,896.8503501592476,833.5587614253584,1025.4638722670163,897.4780544970499,1067.3780581483538,873.203849686184,736.259084535697,850.8904697131063,1114.2252231340456,1077.189232109948,814.1313979997952,875.0335167564718,1161.2029783287749,850.962750526232,751.3846020612004,680.7914589362467,902.916810668636,851.9515354291523,869.3613062879642,1062.495611443143,908.0572437065712,1056.2921789383524,852.7173816538711,1080.9814331546322,734.5057005712761,793.5087308966843,1004.0659870341646,1056.7200823231167,781.1367681044163,744.0468539856122,853.3295398996808,679.6645203696115,1021.0369308840346,917.7995257336081,650.3480354195249,773.3612934456439,738.2368317749884
2003,943.9301198124889,938.1623930948991,883.2371181106712,894.8295406260224,861.2253801650077,892.0025307974397,700.204713323516,675.6469596999721,902.912708374805,974.9517303338272,718.6950626202362,861.6092648797132,995.2626979852485,675.1824725976227,615.8070381169098,811.0121008632672,871.043009134541,1000.7781207844798,190.06181285766883,488.29827329794944,735.6309238881781,692.9695296722326,924.1171850559278,727.1038391561046,911.5032492084681,853.6380393382512,672.3356972459289,656.3679659781275,885.0384308274758,945.3224490319526,484.94473744834073,672.9482888818274,880.2245227205887,1056.1426109302117,793.5331003748015,1000.5832226807569,579.3200911847644,589.6393484849527,682.6043023117066,822.769679795757,181.88154769996703,867.4631470314537,712.5010393803042,715.0382375298618
2004,709.4793026447325,702.0434114373568,982.8242442137487,896.3830526604905,1001.9451972739623,965.517056860491,967.4040943524892,759.3434513878393,970.7635586201451,654.8005165574921,832.7877230606417,958.7901355734876,814.8379616922452,945.6178670172965,1161.0432393855356,927.6145552055323,579.7342107767982,859.2420593764066,584.8132038945697,946.7693890674628,818.754095074446,811.6013076049761,911.5046658201733,819.1552540711184,940.687373767967,914.5742537323154,907.7275189652855,726.7697199224642,988.0466860926127,819.172866825048,856.9287715515344,927.9195148213666,921.9611405402795,685.3978473188098,956.2986624397322,874.9013119395146,638.5864508237485,1098.4227911822018,596.889734596881,599.342708463414,595.1738891843734,638.618545716242,822.6452213845006,815.3594937370378
2005,762.663655728104,535.2517933838403,766.0697887334371,775.6567734087935,864.2092634864034,975.9613137846468,854.9148239046247,816.239167421989,1018.1591952156606,651.6933824592858,865.8538615358115,821.5591512775942,845.7889834503266,841.1686909189015,941.2204832159357,646.7844805691352,755.7935283244409,1389.1115201171922,687.5218203056039,684.2742397332242,983.954590511116,581.6681045881859,754.9177928367965,864.8438999878304,952.3377765669534,724.9294422427301,805.0499319233737,814.8321793136912,838.8325240102283,806.966800090884,646.9597194058139,852.3349171889308,979.6847406096775,675.1688398450553,633.5910152123561,1390.1123392573302,970.9625792248459,959.2325473199537,664.3563615564212,730.6818400346849,734.7400792937248,839.9544258305427,615.5825733163623,954.2927476242363
